Profiling results:
------------------

Executable name: D:\GitHub\VisualFBEditor\Controls\MyFbFramework\examples\Grid\Grid Example.exe
Launched on: 02-09-2025, 11:50:06
Total program execution time: 300.9 seconds


Per function results:

        Function:                                                                         Count:       Time:    Total%:    Proc%:
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                       2     0.00000      0.00%     1.54%
        GETWINDOWLONGPTR                                                                       2     0.00000      0.00%     0.51%
        FB_WSTRCOMPARE                                                                         2     0.00000      0.00%     0.26%

UPDATEWINDOW                                                                                   1     0.03484      0.01%

        CALLWINDOWPROC                                                                         1     0.03477      0.01%    99.81%
        __ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                          1     0.00002      0.00%     0.06%
        __ZN2MY3SYS5FORMS7CONTROL7Lt_5110ER7MESSAGE@8                                          1     0.00001      0.00%     0.02%
        __ZN2MY3SYS6OBJECT9CLASSNAMEEv@4                                                       1     0.00000      0.00%     0.01%
        GETWINDOWLONGPTR                                                                       1     0.00000      0.00%     0.00%
        FB_WSTRCOMPARE                                                                         1     0.00000      0.00%     0.00%

WLET                                                                                          16     0.00002      0.00%

        WREALLOCATE                                                                           16     0.00001      0.00%    50.64%
        FB_WSTRASSIGN                                                                         16     0.00000      0.00%     8.33%
        FB_WSTRLEN                                                                            16     0.00000      0.00%     6.41%

WREALLOCATE                                                                                    1     0.00000      0.00%

        DEALLOCATE                                                                             1     0.00000      0.00%    42.86%
        ALLOCATE                                                                               1     0.00000      0.00%    14.28%

__Z11WDEALLOCATERPw@4                                                                          1     0.00000      0.00%

        DEALLOCATE                                                                             1     0.00000      0.00%    71.43%

__ZN11INTEGERLIST11ITEM__get__El@8                                                           182     0.00011      0.00%

        __ZN11INTEGERLIST12COUNT__get__Ev@4                                                  182     0.00004      0.00%    35.62%
        __ZN15INTEGERLISTITEM12VALUE__get__Ev@4                                              182     0.00001      0.00%     8.07%

__ZN11INTEGERLIST12COUNT__get__Ev@4                                                            2     0.00000      0.00%

        __ZN4LIST12COUNT__get__Ev@4                                                            2     0.00000      0.00%     7.69%

__ZN11INTEGERLIST13INDEXOFOBJECTEPv@8                                                          1     0.00000      0.00%

        __ZN11INTEGERLIST12COUNT__get__Ev@4                                                    1     0.00000      0.00%    66.67%

__ZN11INTEGERLIST13OBJECT__get__El@8                                                           1     0.00000      0.00%

        __ZN11INTEGERLIST12COUNT__get__Ev@4                                                    1     0.00000      0.00%    14.28%

__ZN11INTEGERLIST3ADDElPv@12                                                                  14     0.00002      0.00%

        __ZN15INTEGERLISTITEMC1Ev                                                             14     0.00001      0.00%    31.92%
        __ZN4LIST3ADDEPv@8                                                                    14     0.00000      0.00%    23.47%
        ALLOCATE                                                                              14     0.00000      0.00%     6.57%
        __ZN15INTEGERLISTITEM12VALUE__set__El@8                                               14     0.00000      0.00%     2.35%

__ZN11INTEGERLIST4SORTEv@4                                                                     1     0.00014      0.00%

        __ZN11INTEGERLIST11ITEM__get__El@8                                                   182     0.00011      0.00%    77.67%
        __ZN11INTEGERLIST12COUNT__get__Ev@4                                                   14     0.00000      0.00%     2.23%

__ZN11INTEGERLIST5CLEAREv@4                                                                    1     0.00000      0.00%

        __ZN11INTEGERLIST12COUNT__get__Ev@4                                                    1     0.00000      0.00%    21.05%
        __ZN4LIST5CLEAREv@4                                                                    1     0.00000      0.00%     5.26%

__ZN11INTEGERLISTC1Ev                                                                          9     0.00001      0.00%

        __ZN4LIST5CLEAREv@4                                                                    9     0.00000      0.00%     7.94%
        __ZN10fb_Object$C1Ev                                                                   9     0.00000      0.00%     7.94%
        __ZN4LISTC1Ev                                                                          9     0.00000      0.00%     3.17%

__ZN11INTEGERLISTD1Ev                                                                          2     0.00001      0.00%

        __ZN11INTEGERLIST12COUNT__get__Ev@4                                                    2     0.00000      0.00%    24.07%
        __ZN4LISTD1Ev                                                                          2     0.00000      0.00%     1.85%

__ZN11POINTERLIST3ADDEPvS0_@12                                                                13     0.00002      0.00%

        __ZN4LIST3ADDEPv@8                                                                    13     0.00001      0.00%    34.55%
        __ZN15POINTERLISTITEMC1Ev                                                             13     0.00000      0.00%    18.18%
        ALLOCATE                                                                              13     0.00000      0.00%    11.82%

__ZN11POINTERLIST5COUNTEv@4                                                                    1     0.00000      0.00%

        __ZN4LIST12COUNT__get__Ev@4                                                            1     0.00000      0.00%    25.00%

__ZN11WSTRINGLIST11ITEM__get__El@8                                                           120     0.00012      0.00%

        __ZN15WSTRINGLISTITEM12VALUE__get__Ev@4                                              120     0.00005      0.00%    46.68%

